season,daytype,monthly_income,water_access,wall_material,floor_area
summer,Saturday,3806.818181818182,tap inside house,Plaster,45.0
summer,weekday,3806.818181818182,tap inside house,Plaster,45.0
summer,Friday,0.0,tap inside house,Brick,46.0
summer,weekday,0.0,tap inside house,Brick,46.0
winter,weekday,12159.090909090908,tap inside house,Brick,61.0
summer,Friday,4943.181818181818,tap inside house,Plaster,53.0
summer,Saturday,4943.181818181818,tap inside house,Plaster,53.0
summer,weekday,4943.181818181818,tap inside house,Plaster,53.0
summer,weekday,2840.909090909091,tap inside house,Brick,42.0
winter,Friday,1534.090909090909,tap inside house,Brick,46.0
winter,weekday,1534.090909090909,tap inside house,Brick,46.0
summer,Saturday,1704.5454545454545,tap inside house,Plaster,46.0
summer,weekday,1704.5454545454545,tap inside house,Plaster,46.0
winter,Saturday,1704.5454545454545,tap inside house,Plaster,46.0
summer,Friday,21590.90909090909,tap in yard,IBR/Corr.Iron/Zinc,21.0
summer,Saturday,21590.90909090909,tap in yard,IBR/Corr.Iron/Zinc,21.0
summer,weekday,21590.90909090909,tap in yard,IBR/Corr.Iron/Zinc,21.0
winter,Saturday,21590.90909090909,tap in yard,IBR/Corr.Iron/Zinc,21.0
winter,weekday,21590.90909090909,tap in yard,IBR/Corr.Iron/Zinc,21.0
summer,Sunday,4375.0,tap in yard,Brick,51.0
summer,weekday,1534.090909090909,tap in yard,Brick,40.0
summer,Friday,4318.181818181818,tap inside house,Daub/Mud/Clay,85.0
summer,Saturday,4318.181818181818,tap inside house,Daub/Mud/Clay,85.0
summer,Sunday,4318.181818181818,tap inside house,Daub/Mud/Clay,85.0
summer,weekday,4318.181818181818,tap inside house,Daub/Mud/Clay,85.0
winter,Saturday,4318.181818181818,tap inside house,Daub/Mud/Clay,85.0
winter,weekday,4318.181818181818,tap inside house,Daub/Mud/Clay,85.0
winter,weekday,10227.272727272728,tap inside house,Brick,47.0
summer,Friday,1534.090909090909,tap inside house,Brick,48.0
summer,Saturday,1534.090909090909,tap inside house,Brick,48.0
summer,Sunday,1534.090909090909,tap inside house,Brick,48.0
summer,weekday,1534.090909090909,tap inside house,Brick,48.0
winter,Friday,1534.090909090909,tap inside house,Brick,48.0
winter,Saturday,1534.090909090909,tap inside house,Brick,48.0
winter,Sunday,1534.090909090909,tap inside house,Brick,48.0
winter,weekday,1534.090909090909,tap inside house,Brick,48.0
summer,weekday,1534.090909090909,tap inside house,Plaster,36.0
summer,weekday,610.2272727272727,tap in yard,Brick,48.0
summer,Friday,1534.090909090909,tap in yard,Brick,48.0
summer,weekday,1534.090909090909,tap in yard,Brick,48.0
summer,Saturday,9090.90909090909,tap in yard,IBR/Corr.Iron/Zinc,34.0
summer,weekday,0.0,tap inside house,Plaster,73.0
summer,Friday,3068.181818181818,tap inside house,Brick,142.0
summer,Saturday,3068.181818181818,tap inside house,Brick,142.0
summer,weekday,3068.181818181818,tap inside house,Brick,142.0
summer,weekday,1704.5454545454545,tap in yard,Brick,18.0
summer,Friday,9090.90909090909,tap inside house,Brick,62.0
summer,Saturday,9090.90909090909,tap inside house,Brick,62.0
summer,weekday,9090.90909090909,tap inside house,Brick,62.0
winter,weekday,9090.90909090909,tap inside house,Brick,50.0
summer,weekday,6818.181818181818,tap inside house,Plaster,55.0
summer,weekday,12500.0,tap inside house,Brick,55.0
summer,Friday,25000.0,tap inside house,Brick,57.0
summer,Saturday,25000.0,tap inside house,Brick,57.0
summer,Friday,11363.636363636364,tap inside house,Brick,57.0
summer,Friday,7954.545454545455,tap inside house,Brick,78.0
summer,Sunday,7954.545454545455,tap inside house,Brick,78.0
summer,Friday,9090.90909090909,tap inside house,Brick,81.0
summer,Saturday,9090.90909090909,tap inside house,Brick,81.0
summer,weekday,9090.90909090909,tap inside house,Brick,81.0
winter,Friday,9090.90909090909,tap inside house,Brick,81.0
summer,weekday,0.0,tap inside house,Brick,71.0
summer,Saturday,0.0,tap inside house,Brick,48.0
summer,Sunday,0.0,tap inside house,Brick,48.0
summer,Friday,11931.818181818182,tap inside house,Brick,193.0
summer,Saturday,11931.818181818182,tap inside house,Brick,193.0
summer,weekday,11931.818181818182,tap inside house,Brick,193.0
winter,Saturday,11931.818181818182,tap inside house,Brick,193.0
summer,weekday,7954.545454545455,tap inside house,Plaster,46.0
summer,weekday,9090.90909090909,tap inside house,Brick,67.0
summer,weekday,20454.545454545456,tap inside house,Brick,71.0
summer,Friday,11022.727272727272,tap inside house,Brick,67.0
summer,Saturday,11022.727272727272,tap inside house,Brick,67.0
summer,weekday,11022.727272727272,tap inside house,Brick,67.0
winter,weekday,13181.818181818182,tap inside house,Brick,58.0
summer,Saturday,11136.363636363636,tap inside house,Brick,46.0
summer,Saturday,9090.90909090909,tap inside house,Brick,60.0
summer,weekday,9090.90909090909,tap inside house,Brick,60.0
winter,Friday,9090.90909090909,tap inside house,Brick,60.0
summer,weekday,8409.09090909091,tap inside house,Plaster,46.0
winter,weekday,8409.09090909091,tap inside house,Plaster,46.0
summer,weekday,13636.363636363636,tap inside house,Brick,63.0
summer,weekday,15909.090909090908,tap inside house,Brick,56.0
summer,Saturday,13409.090909090908,tap inside house,Plaster,54.0
summer,weekday,13409.090909090908,tap inside house,Plaster,54.0
